Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,91,105325,105325,West Melbourne (Residential),Shining Homes,3011,House Construction,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Vacant,0,Vacant Space,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Capital Wealth Advisers,6419,Other Auxiliary Finance and Investment Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Rice Too Asian Cuisine,4512,Takeaway Food Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Vacant,0,Vacant Space,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Vacant,0,Vacant Space,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Vacant,0,Vacant Space,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),50 Degrees North,7220,Travel Agency and Tour Arrangement Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Dr Jaco Erasmus,8512,Specialist Medical Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Blue Ocean Strategy Australia,6962,Management Advice and Other Consulting Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Skill Solutions,8101,Technical and Vocational Education and Training,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Voice Logic,7000,Computer System Design and Related Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Committo,7000,Computer System Design and Related Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Novel Tours & Events,7299,Other Administrative Services n.e.c.,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),MGP & Co,6932,Accounting Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),James Partners Lawyers,6931,Legal Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Parts Locator,6940,Advertising Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105324,105324,West Melbourne (Residential),Forbes Dowling Lawyers Pty Ltd,6931,Legal Services,144.953235,-37.81183108,"(-37.81183108, 144.953235)"
2018,91,105324,105324,West Melbourne (Residential),Australian Receivables,7293,Credit Reporting and Debt Collection Services,144.953235,-37.81183108,"(-37.81183108, 144.953235)"
2018,91,105323,105323,West Melbourne (Residential),Ganci Huggett Lawyers,3494,Other Electrical and Electronic Good Wholesaling,144.9533144,-37.81207298,"(-37.81207298, 144.9533144)"
2018,91,105323,105323,West Melbourne (Residential),The Wilderness Society,8790,Other Social Assistance Services,144.9533144,-37.81207298,"(-37.81207298, 144.9533144)"
2018,82,105370,105370,Melbourne (CBD),Cafe Sonex,4511,Cafes and Restaurants,144.9542746,-37.81261526,"(-37.81261526, 144.9542746)"
2018,82,105372,105372,Melbourne (CBD),St John Ambulance Australia (Victoria) Inc,8101,Technical and Vocational Education and Training,144.9545001,-37.81280976,"(-37.81280976, 144.9545001)"
2018,82,105372,105372,Melbourne (CBD),Ozford College Pty Ltd,8101,Technical and Vocational Education and Training,144.9545001,-37.81280976,"(-37.81280976, 144.9545001)"
2018,82,105372,105372,Melbourne (CBD),Armour Legal,6931,Legal Services,144.9545001,-37.81280976,"(-37.81280976, 144.9545001)"
2018,82,105372,105372,Melbourne (CBD),Core 24 CBD,9111,Health and Fitness Centres and Gymnasia Operation,144.9545001,-37.81280976,"(-37.81280976, 144.9545001)"
2018,82,105372,105372,Melbourne (CBD),Countrywide Austral,7294,Call Centre Operation,144.9545001,-37.81280976,"(-37.81280976, 144.9545001)"
2018,82,105372,105372,Melbourne (CBD),Oclc (Uk) Limited,6010,Libraries and Archives,144.9545001,-37.81280976,"(-37.81280976, 144.9545001)"
2018,82,105372,105372,Melbourne (CBD),Max Therapy Institute,8101,Technical and Vocational Education and Training,144.9545001,-37.81280976,"(-37.81280976, 144.9545001)"
2018,82,105371,105371,Melbourne (CBD),Vacant,0,Vacant Space,144.9543144,-37.81270041,"(-37.81270041, 144.9543144)"
2018,82,105371,105371,Melbourne (CBD),Australia Migration Services,9539,Other Personal Services n.e.c.,144.9543144,-37.81270041,"(-37.81270041, 144.9543144)"
2018,82,105460,105460,Melbourne (CBD),Headspace Nat Youth Mental Health Foundation Ltd,8539,Other Allied Health Services,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Vacant,0,Vacant Space,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Salmat Limited,6962,Management Advice and Other Consulting Services,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Slater & Gordon Ltd,6931,Legal Services,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Australian Institute of Family Studies,7510,Central Government Administration,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Vacant,0,Vacant Space,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Atrium 485,4512,Takeaway Food Services,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Vacant,0,Vacant Space,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Vacant,0,Vacant Space,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Vacant,0,Vacant Space,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
2018,82,105460,105460,Melbourne (CBD),Elite Customer Solutions Pty Ltd,5921,Data Processing and Web Hosting Services,144.9549226,-37.81276886,"(-37.81276886, 144.9549226)"
